Unnamed: 0,ID,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
5333,7004490485,7,9,14,17,31,33,33,33,35,35,35,35,41,41,47,47,57,61,61,75,77,77,85,95,1995
5702,7003274943,3,3,3,3,3,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,1995
6165,6603431322,3,4,5,5,6,6,6,6,6,7,7,7,8,8,10,10,11,13,14,14,14,14,14,14,1995
6414,6603817744,3,3,5,5,6,6,6,7,7,8,9,15,18,18,21,23,23,24,24,25,26,26,26,26,1995
7165,6603966918,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1995
7342,9337949200,3,3,3,3,3,3,3,6,6,6,8,8,8,9,9,9,9,9,9,9,14,14,14,14,1995
7952,7004325009,4,4,4,4,7,7,7,11,12,12,22,23,26,26,28,28,28,28,30,30,31,31,31,31,1995
7964,6603582695,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1995
8368,7003986387,2,2,2,3,3,3,3,3,3,3,3,3,3,3,5,7,7,7,7,7,7,7,7,7,1995
8718,6603103304,2,2,2,2,2,2,2,2,2,2,2,2,5,8,8,8,16,16,16,16,16,16,16,16,1995
8769,7003424936,15,15,31,31,31,31,66,66,68,71,102,102,114,114,131,155,264,264,264,264,264,264,264,264,1995
9034,7004546455,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1995
9265,55887903500,2,8,8,8,8,8,8,12,12,12,12,20,20,20,23,27,30,30,46,52,52,52,52,52,1995
9810,55844995800,1,1,2,2,2,2,2,2,4,4,4,4,4,5,5,5,5,5,5,11,11,12,12,16,1995
9837,7003518816,2,2,2,2,2,2,2,2,2,2,5,9,9,9,9,9,9,9,9,9,14,14,17,22,1995
9859,55902778100,2,2,2,3,3,3,3,3,3,4,6,6,6,8,9,11,12,16,16,16,16,16,16,16,1995
9925,7003962440,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,15,15,15,15,15,15,15,1995
9938,6603938472,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1995
10146,7102313757,5,5,5,5,5,5,5,5,5,11,11,11,11,11,11,11,21,21,21,21,21,21,21,21,1995
10223,56038585500,13,13,13,13,13,13,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,1995
10540,54585959500,1,26,26,26,26,27,27,28,29,30,33,34,34,34,34,38,40,40,40,41,42,44,72,73,1995
10916,7006594623,2,2,2,2,8,9,10,11,16,16,18,24,31,31,31,33,33,35,40,40,46,46,51,51,1995
10951,8524757200,1,2,2,4,5,5,11,17,26,51,63,72,89,102,107,124,130,140,148,155,156,161,172,176,1995
11014,7003404986,1,1,1,3,11,12,15,19,32,34,40,42,54,63,74,87,92,99,102,111,143,151,162,164,1995
11074,6507834675,2,2,2,2,2,2,2,2,2,5,5,23,24,25,27,28,28,28,28,28,28,28,30,32,1995
11579,6701479991,2,6,8,8,8,8,10,10,11,11,11,11,15,15,19,20,22,22,23,23,23,23,23,24,1995
12257,7406100201,1,2,3,10,11,11,12,12,13,13,20,21,21,28,28,31,31,31,31,31,31,31,31,31,1995
12357,35230847400,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1995
12402,56230413400,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1995
12618,35306340000,1,2,2,3,3,3,3,6,7,7,15,16,23,28,36,53,55,63,64,71,74,75,76,97,1995
12777,56426178700,2,2,2,2,3,3,9,10,12,12,12,12,12,12,12,12,12,14,16,16,16,17,17,19,1995
13060,6603348434,5,5,5,5,5,5,5,5,5,5,5,6,6,7,7,7,8,8,9,9,9,9,10,10,1995
13206,6701521591,2,4,4,4,4,4,4,4,4,6,19,34,50,61,80,83,95,105,111,115,131,140,157,190,1995
13967,6603459777,4,8,9,9,9,9,9,9,12,12,13,16,16,16,16,25,27,30,31,35,35,38,38,40,1995
14166,35605416800,2,3,4,18,18,18,19,19,23,23,25,25,34,34,40,40,44,46,48,54,55,58,58,58,1995
14291,7102615318,1,1,1,1,4,5,5,6,9,10,10,15,15,19,22,34,35,37,38,38,46,49,49,58,1995
14423,7005095300,1,1,1,1,1,1,2,3,10,11,11,13,13,13,14,14,14,16,16,16,16,16,16,16,1995
14880,56029654300,2,2,4,4,5,9,15,19,19,19,19,21,21,21,21,21,21,21,21,28,28,28,28,30,1995
15086,8854255300,1,1,1,3,4,6,7,11,11,15,22,24,30,30,35,35,35,36,37,37,37,37,37,37,1995
15263,6602703893,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1995
15335,6603846634,2,2,5,5,6,10,12,15,16,20,20,20,20,20,20,20,20,22,22,22,22,22,22,22,1995
15364,6604045895,1,1,1,3,4,4,4,4,6,12,14,14,14,14,14,14,14,16,16,16,16,16,16,16,1995
15491,7003597651,9,9,9,12,12,12,13,13,13,21,21,21,21,32,49,65,72,78,78,85,88,88,88,88,1995
15869,6603727409,4,4,4,4,4,4,4,4,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1995
16260,6507361722,3,3,5,6,6,8,9,10,10,10,12,18,22,22,22,26,26,26,33,35,38,41,42,44,1995
16741,7005556783,6,6,6,9,9,9,11,11,15,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17,1995
16869,7004529543,1,4,4,4,4,4,4,4,4,4,4,28,28,30,30,30,30,32,32,32,32,32,32,32,1995
16962,7005628225,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1995
17036,36937388200,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,11,11,11,11,11,1995
17469,7003974924,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,1995
17506,6603337279,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1995
17608,6602552471,3,3,4,4,4,4,4,4,4,4,4,4,4,6,6,6,9,9,9,9,9,9,10,10,1995
17626,7103154738,6,6,6,9,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,18,18,1995
17768,7003364364,7,7,7,7,11,17,19,19,19,19,37,37,37,37,37,37,37,37,70,70,76,76,79,79,1995
18179,55890999800,2,2,3,3,3,3,5,5,5,5,5,6,6,7,7,10,11,11,12,12,13,14,15,15,1995
18322,7003480342,3,3,3,3,4,4,5,5,19,29,29,29,36,36,56,56,59,62,63,74,79,106,110,110,1995
18382,7102425942,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1995
18526,35617623200,1,24,25,25,25,25,25,25,25,25,25,25,25,27,27,27,27,29,29,29,29,29,29,29,1995
18632,55903412700,1,1,1,1,1,1,1,1,2,2,2,2,2,2,6,6,6,6,7,7,7,7,7,7,1995
19139,7004826296,4,4,9,18,18,21,31,32,32,32,32,33,38,41,44,44,51,51,53,53,53,53,53,53,1995
19614,57203254475,2,2,2,2,2,2,2,4,15,15,16,16,18,18,19,21,21,21,21,21,21,21,21,23,1995
19768,6602152826,2,2,5,5,5,5,6,12,18,20,20,24,25,25,25,26,29,35,36,36,38,44,54,61,1995
19872,6505985292,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,1995
20070,6603410262,1,3,3,4,6,10,11,11,11,12,13,16,18,19,19,20,20,21,23,23,24,25,25,32,1995
20149,6602752415,3,3,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1995
20322,57192645986,1,1,17,18,24,25,47,67,68,96,98,98,111,111,114,114,121,121,132,134,134,147,149,149,1995
20587,15127004800,1,1,1,1,1,15,15,15,15,15,15,17,17,17,17,17,17,17,38,40,40,41,45,45,1995
20759,7005581531,2,4,4,4,4,4,4,4,4,4,8,8,8,10,10,10,10,10,10,10,13,14,19,19,1995
20838,55886774400,5,9,9,11,12,14,16,18,18,19,22,25,26,28,31,31,36,36,36,36,36,36,36,36,1995
20869,6602297291,3,3,3,3,3,3,3,3,9,9,9,9,12,13,13,14,14,16,16,18,21,25,25,25,1995
21043,7005980183,1,3,4,5,5,10,12,16,17,20,20,23,26,31,32,35,43,47,53,63,68,72,72,75,1995
21200,6506459149,2,2,2,2,2,3,6,7,7,9,9,9,14,18,18,22,26,28,32,32,34,39,41,46,1995
21375,35729333400,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1995
21465,7003503252,1,1,1,1,3,3,3,3,3,5,5,5,9,9,14,14,14,15,15,15,15,15,15,15,1995
21719,7401452511,3,3,3,3,3,7,7,7,7,7,9,9,9,10,10,10,10,11,11,11,11,11,11,11,1995
21750,7201427616,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,8,8,8,8,1995
21813,7006002240,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1995
22285,36790451300,11,11,11,11,11,11,28,37,37,37,37,42,43,43,43,43,43,43,43,43,43,43,43,43,1995
22600,6701787521,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1995
22858,7004527801,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,1995
22972,35195492000,2,2,4,6,7,10,11,25,30,35,46,59,63,66,81,93,112,122,177,204,223,230,244,248,1995
23893,7003967543,2,2,2,2,2,5,7,7,7,10,10,10,10,10,15,15,17,22,22,22,22,22,22,22,1995
23938,6603912228,1,1,1,1,1,2,2,2,2,2,3,3,3,5,7,9,9,9,9,13,17,19,22,26,1995
23953,7102317973,4,4,4,4,4,4,4,4,11,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,1995
24032,7101859155,1,1,1,5,6,8,19,19,19,23,28,28,28,28,28,28,28,28,28,28,28,28,28,28,1995
24170,20734487900,2,2,2,2,2,4,5,7,7,7,7,10,13,13,16,16,25,25,25,25,25,25,25,27,1995
24235,7004757895,1,4,6,6,9,10,13,23,30,33,35,39,40,48,64,71,79,100,105,122,129,131,141,163,1995
24529,7402976100,15,15,18,18,18,18,50,50,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,1995
24965,55503488000,1,1,1,5,9,14,14,17,23,23,23,27,32,39,46,56,66,72,75,75,75,76,76,76,1995
25195,6603636301,1,1,1,1,2,2,2,4,4,9,14,14,23,31,33,36,38,49,59,62,77,80,86,90,1995
25930,6603682821,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,1995
26203,36071959600,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1995
26347,7101724716,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1995
26353,56240835500,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12,12,13,14,14,1995
26443,6603081027,2,4,4,4,5,5,6,8,8,9,17,17,17,17,20,20,20,20,20,20,20,20,20,20,1995
26624,6701910419,2,2,2,3,5,5,7,8,10,10,10,12,12,17,25,25,25,35,45,46,48,61,65,66,1995
26850,22333651800,4,4,4,5,5,5,5,5,5,18,18,18,18,32,34,34,34,39,39,39,39,39,39,39,1995
26991,7004259012,1,1,2,2,4,4,4,4,4,4,4,4,4,4,6,7,7,7,7,7,7,7,7,7,1995
27071,35551238800,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,17,17,17,17,17,17,17,17,17,1995
27125,7003701058,3,3,3,3,3,3,3,4,5,11,11,11,13,15,18,25,27,27,32,34,36,39,47,55,1995
27429,6701607011,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1995
27534,7003370446,3,5,5,5,5,6,6,6,11,11,11,14,14,14,14,14,14,14,14,14,14,14,14,14,1995
27614,6602877791,2,2,2,2,9,9,10,11,13,18,18,20,25,28,28,28,28,31,34,40,41,43,43,47,1995
27658,6508213476,2,3,3,3,5,5,5,6,6,6,9,10,12,13,18,20,21,21,21,21,21,21,21,21,1995
27809,7401657343,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1995
28035,6603494020,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,5,6,6,7,7,9,11,12,1995
28513,7005772385,4,5,7,7,8,9,9,11,11,12,24,31,57,65,74,80,95,104,115,124,132,138,146,166,1995
28713,7004067708,5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,15,1995
28831,14044573400,2,2,2,2,2,2,2,2,3,4,4,4,5,5,5,10,11,11,11,11,11,11,13,13,1995
29119,7006454064,2,2,3,3,3,4,4,4,4,4,4,5,9,13,15,15,15,16,18,18,21,21,24,25,1995
29125,6603388633,4,4,4,4,4,4,4,4,4,4,6,6,6,22,22,26,29,31,33,40,40,40,40,40,1995
29174,6602153230,2,2,2,2,2,2,3,3,3,3,3,3,4,5,6,6,6,6,6,7,7,7,7,7,1995
29618,7005352557,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1995
29909,7003574026,1,1,1,1,2,2,2,2,2,5,5,5,5,5,9,9,9,9,9,9,9,9,9,9,1995
29941,6506010326,1,1,1,1,1,1,1,1,1,1,3,3,3,4,10,10,13,14,21,21,29,30,31,31,1995
30369,6602358413,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,1995
30390,7006173860,3,3,4,4,5,5,5,5,5,5,5,9,9,9,9,9,9,9,9,11,11,11,11,11,1995
30442,57193698000,3,3,3,3,3,3,7,7,10,10,10,11,11,15,21,24,24,28,28,28,29,29,29,33,1995
30636,6603068261,2,2,2,2,2,2,2,2,2,2,2,2,2,6,11,11,11,13,13,13,13,13,13,17,1995
30812,42361083900,1,1,2,2,3,4,4,4,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,1995
31061,6507433000,5,5,10,10,10,10,10,10,24,24,24,24,27,27,27,27,27,27,27,32,32,32,48,48,1995
31422,6602504047,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1995
31867,6701375900,3,3,3,3,3,4,11,15,26,34,39,49,55,69,71,80,89,91,97,110,118,124,124,128,1995
31897,56209400500,4,4,9,9,9,9,9,9,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,12,1995
32459,6603628562,7,7,7,7,10,10,10,10,10,10,10,10,39,39,39,39,39,39,39,39,39,39,39,39,1995
32503,35902190900,2,11,11,11,15,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,1995
32897,7005638826,3,3,3,10,14,20,32,40,56,72,81,85,97,118,160,187,189,195,199,199,199,199,199,199,1995
34103,6602780125,1,1,2,2,8,9,10,10,10,10,11,11,13,13,13,14,19,22,24,24,27,28,28,28,1995
34872,24341247300,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,1995
34992,7006508437,5,5,5,5,5,5,13,13,13,13,16,16,16,16,16,16,16,16,16,16,16,16,16,16,1995
35255,6602702004,5,5,5,5,5,12,14,14,15,16,18,18,18,18,20,20,24,25,27,29,29,35,37,51,1995
35317,56181307800,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,1995
35338,6701624726,3,4,11,14,25,27,27,27,34,34,34,34,40,40,40,43,56,56,56,56,56,56,56,60,1995
35469,7403565272,4,4,12,12,12,12,12,22,38,38,38,43,69,69,69,69,72,72,85,85,85,85,85,85,1995
35504,6603358753,2,2,2,2,2,4,4,7,8,11,13,14,20,22,23,25,30,30,32,33,33,34,34,36,1995
35786,6701341989,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1995
36107,7006825949,1,1,1,1,1,3,3,3,16,16,18,18,21,21,22,22,22,22,22,22,33,33,33,33,1995
36172,35480946700,5,8,16,26,27,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,1995
36833,35616889300,4,4,4,4,4,6,7,7,7,7,7,12,12,12,15,21,25,30,33,35,35,41,41,41,1995
37109,7003799970,4,4,9,13,13,15,16,18,18,18,25,28,29,34,40,40,44,44,47,50,56,58,59,62,1995
37182,6602092702,3,3,3,3,3,4,4,4,4,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,1995
37381,6603593429,1,1,1,2,2,2,2,5,17,21,22,24,32,35,42,47,49,51,60,65,70,72,77,82,1995
37443,7202124400,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,1995
37451,7006603971,2,3,3,3,3,3,4,4,6,11,14,15,15,22,24,24,28,29,34,34,35,35,35,38,1995
37685,7005909087,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,21,21,21,21,21,21,25,1995
37740,6602988159,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,1995
37890,7004382985,4,5,7,8,10,11,11,11,12,12,13,13,13,14,15,16,20,23,23,23,23,25,25,26,1995
38183,7004112256,2,5,5,6,6,14,14,15,15,21,21,21,27,27,27,27,27,32,34,34,49,53,53,53,1995
38421,6602426355,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1995
38495,8443301900,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1995
38551,35800828300,9,9,9,32,32,37,37,46,46,82,87,137,141,175,177,213,217,246,254,284,284,348,352,375,1995
38966,6508042991,2,2,2,2,2,2,2,2,10,11,11,11,11,11,11,11,11,11,11,11,26,26,26,26,1995
39044,56355576200,3,5,5,5,5,5,5,10,10,12,12,18,20,20,23,23,24,26,26,26,26,26,26,26,1995
39371,8122086100,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1995
39375,55885120600,3,3,5,5,12,12,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,1995
39576,8541015800,1,1,1,1,1,1,1,1,1,9,9,13,14,14,14,17,18,22,22,22,22,25,25,25,1995
39714,7004921334,2,2,2,2,2,4,4,6,13,13,17,20,20,24,25,25,25,28,28,28,28,33,33,33,1995
39796,7005896090,6,6,8,8,8,8,8,19,19,19,19,19,25,27,29,29,29,30,30,30,30,34,34,34,1995
39980,9744833400,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1995
39984,7101724310,3,3,3,3,3,3,3,3,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,1995
40338,57194128652,1,1,1,1,3,3,3,4,4,4,6,6,6,6,6,6,10,12,12,12,12,12,12,12,1995
40358,6602275069,1,2,2,2,2,5,5,5,7,7,10,13,13,17,17,18,21,25,26,29,31,35,35,35,1995
40419,55837993200,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,8,48,48,48,48,1995
40529,56255899700,1,1,1,5,5,5,9,9,9,9,9,9,17,17,17,27,27,27,29,29,29,29,29,29,1995
40564,6506952660,2,2,5,5,5,5,5,5,5,9,9,9,10,10,11,11,11,12,12,12,15,15,17,17,1995
40595,6603285118,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1995
40797,7005155254,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1995
41240,57203245945,2,2,5,5,5,8,9,10,11,12,16,16,27,31,36,40,41,41,42,42,47,52,61,66,1995
41566,7004052362,1,1,4,4,4,4,4,4,5,5,8,8,9,9,9,9,9,9,9,9,9,9,9,9,1995
41816,7202259000,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,9,1995
41850,7004604248,6,6,9,9,9,9,18,18,18,19,19,38,38,38,39,39,44,44,44,44,44,50,50,50,1995
41970,7005672551,10,10,10,10,10,10,19,19,19,19,31,31,31,31,31,31,31,35,35,35,35,35,35,38,1995
42339,6603925960,9,9,9,9,12,12,12,12,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,1995
42352,6603140319,2,2,2,2,2,2,2,2,2,2,2,5,9,9,9,9,9,13,13,13,13,13,13,13,1995
42524,7004292600,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1995
42750,8946885700,4,4,4,5,6,6,6,6,7,8,10,11,12,13,14,15,15,16,16,17,17,18,18,19,1995
43772,7003629375,3,7,7,11,11,21,24,37,44,44,50,50,50,61,78,92,110,112,112,115,129,134,142,143,1995
43817,6603650303,2,2,2,7,9,14,17,17,20,20,20,20,22,22,28,31,36,36,41,51,51,52,63,68,1995
43974,56462712400,6,6,7,7,7,7,11,17,26,26,26,26,39,49,49,49,54,64,64,64,70,81,88,94,1995
44227,6603679582,10,10,24,24,24,24,24,24,28,28,28,31,31,31,31,31,31,39,39,39,39,45,112,114,1995
44233,56571457700,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1995
44641,6602365843,2,2,2,2,2,4,4,7,8,10,12,13,19,21,22,24,29,29,31,31,31,32,33,35,1995
45178,16027887700,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1995
45817,6701441655,4,8,13,14,17,21,25,27,27,29,34,34,35,36,37,39,39,40,42,44,50,52,54,54,1995
45862,6602666335,1,1,1,4,5,7,7,7,14,14,20,27,36,43,50,57,59,60,60,60,60,60,60,60,1995
45939,8888184000,1,1,1,1,1,1,4,4,4,4,7,10,11,22,22,22,27,27,27,27,27,27,35,35,1995
46174,7004921894,4,4,4,4,4,4,4,4,5,5,5,5,8,8,8,8,8,8,8,8,8,8,8,8,1995
46541,35322500700,1,1,5,5,5,9,9,10,10,10,12,13,13,15,17,18,22,23,24,25,25,29,30,32,1995
46551,6603917630,3,3,5,5,5,11,11,11,12,15,15,15,24,28,40,50,75,80,84,87,92,92,96,102,1995
46657,7003810944,5,19,21,26,30,30,33,36,39,39,46,58,66,73,76,84,88,94,99,119,130,133,136,137,1995
46748,6701660498,7,7,7,7,7,7,7,7,7,7,9,18,18,18,18,18,18,18,18,18,18,18,18,18,1995
46811,7005334444,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1995
47017,6603800775,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1995
47393,7003800757,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,12,12,12,12,12,12,1995
47438,6701812589,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1995
47476,35769114600,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1995
47533,13610415700,3,3,3,3,3,3,5,5,7,7,8,9,10,11,11,11,12,12,13,25,28,29,30,32,1995
47595,7003626466,6,6,7,7,14,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,1995
48307,35414413900,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,14,21,21,21,21,21,21,1995
48491,6508145391,2,2,2,2,2,2,10,10,10,10,10,10,10,10,10,30,30,30,30,30,30,30,30,30,1995
48796,7003590972,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,8,8,8,8,1995
49912,7005063647,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1995
50124,55942227200,2,2,2,2,2,2,2,32,33,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,1995
50234,6701581276,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,12,12,1995
50664,55951190200,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,6,6,6,1995
50786,7405667994,2,2,2,2,4,4,4,4,4,4,6,8,8,8,8,8,8,8,8,8,10,10,18,18,1995
50910,7404358404,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1995
51005,8343038100,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1995
