ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
36488950200,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
57190039914,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
55884702600,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6602844926,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6602308193,4,4,4,4,4,4,4,4,7,8,8,8,8,8,12,12,12,14,15,15,15,15,17,17,17,17,17,17,17
57124912500,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7004270926,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7401900166,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
6701721644,3,3,3,3,3,3,3,3,8,8,8,8,8,8,8,15,15,16,17,18,20,23,23,23,29,29,29,29,31
56034378200,2,2,2,2,2,2,4,5,5,5,5,6,10,10,51,56,88,109,145,150,178,186,225,229,257,270,281,308,311
6603682214,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
57199270864,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
55811564100,1,1,1,1,1,1,1,1,1,1,2,2,2,5,8,8,9,9,9,9,18,20,20,24,37,37,40,40,41
7007030575,2,2,2,4,4,4,4,5,5,10,10,13,13,13,14,17,17,21,25,30,30,35,37,40,41,42,47,54,64
24325831000,2,3,4,4,5,7,7,7,7,7,9,12,18,23,24,26,28,30,30,38,39,40,43,43,45,45,46,46,46
56274859100,7,7,7,7,7,7,7,9,9,9,16,27,27,40,40,53,53,70,88,90,90,95,95,95,95,95,95,95,95
7801309441,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57192387835,3,3,3,3,3,3,3,3,3,3,3,3,31,31,31,31,31,31,31,37,37,37,37,37,37,37,37,41,41
7202580103,2,4,9,12,18,18,22,26,30,37,42,45,46,48,48,56,83,87,89,91,92,95,101,102,108,108,109,112,129
6602363776,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6602118820,3,3,3,3,4,5,5,5,5,5,5,6,6,6,7,7,7,7,8,8,10,10,10,12,12,12,12,12,12
7403383243,3,3,3,3,11,11,11,11,11,11,11,11,11,11,11,11,11,20,20,20,20,20,20,20,20,20,20,26,26
7402386869,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6
55584802602,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57199884422,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
6602812980,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7401809457,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
57196591021,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7003585886,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7004203605,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
35570896900,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,40,42,44,47,47,47
7006211939,2,3,3,3,3,6,14,21,22,28,30,30,31,32,33,36,41,51,52,61,62,66,71,71,71,71,71,71,75
57196403918,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7003924858,4,5,5,7,10,11,15,20,20,21,24,30,34,39,44,52,55,55,57,64,65,66,75,85,88,91,108,115,117
8223425800,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7403361997,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7201814067,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
35571525300,3,3,3,3,3,3,3,3,4,4,4,4,4,4,6,6,8,30,30,33,36,36,36,36,41,42,45,48,48
6602222934,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
16429621900,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7004970514,3,3,3,3,11,14,14,14,15,15,15,15,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
35571353900,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,6,6,6,6,6,6
6701345972,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
35616191400,2,4,4,4,4,4,4,7,7,9,11,14,19,20,23,23,24,27,29,30,31,31,31,31,31,31,31,31,31
6701619298,2,2,2,8,8,8,10,10,10,10,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
7101921631,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,13,13,13,13,13,13
57124822500,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
57191195314,1,1,1,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7004838968,4,4,4,4,4,4,4,4,4,4,4,4,7,8,8,10,10,14,14,14,14,14,14,14,14,14,14,14,14
57206148116,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
7006687753,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
57190037849,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7003993073,19,19,21,25,25,29,32,32,39,44,53,60,62,72,74,79,86,93,98,105,117,118,127,127,128,139,139,139,141
56234907100,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7004597928,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7005870330,3,3,3,3,3,3,5,5,5,5,5,5,5,7,7,7,7,7,8,8,8,11,11,11,11,11,11,11,11
55654662200,4,4,8,9,14,16,21,29,33,37,50,56,56,60,60,60,62,62,62,62,64,64,64,64,64,64,64,64,64
57189884783,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
57188747372,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6701316794,2,6,7,8,9,9,12,12,16,16,20,23,29,33,34,45,47,47,51,56,60,61,75,76,79,82,84,87,87
6602973253,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
6506056109,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7004584979,2,2,2,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
6602113920,2,2,2,2,7,7,12,12,13,13,23,24,24,24,24,24,29,32,41,42,42,42,42,42,45,45,45,45,45
7003330495,2,2,2,5,5,10,10,15,15,23,24,30,33,49,61,67,69,69,73,79,85,85,85,87,88,92,94,94,99
6506865904,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
56238044700,1,5,5,7,7,7,11,14,14,15,16,16,16,16,16,16,16,16,17,18,18,19,19,19,19,19,19,19,19
7004161017,3,5,5,7,8,8,8,9,9,9,9,9,9,9,10,11,15,15,15,15,16,16,16,16,16,16,16,16,16
7006201366,2,3,4,7,8,9,9,9,11,11,15,15,15,15,15,15,15,20,20,20,20,20,21,21,22,24,24,24,24
7005146506,1,1,4,5,13,17,21,23,32,43,47,48,49,50,58,64,75,77,80,83,86,86,86,89,89,92,96,100,100
57204930616,1,1,1,1,1,1,1,1,2,2,2,2,2,2,4,4,4,5,5,5,5,9,10,11,11,11,11,11,11
6602839379,1,1,2,2,4,4,4,4,5,5,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
23477640200,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3
57196403687,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
7006108580,4,9,9,9,10,13,13,13,13,16,18,18,18,18,18,18,19,19,19,21,21,21,21,24,24,24,24,24,24
56217204700,4,6,12,12,13,15,17,17,17,17,20,21,22,22,23,23,23,23,23,26,28,34,35,35,35,36,36,36,36
24324513300,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
7006515173,5,5,5,5,5,5,5,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
7801482040,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
36511182600,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6602374220,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4
7006566699,2,2,2,2,2,2,2,2,2,2,2,2,2,9,9,9,9,15,25,29,33,33,33,35,35,35,35,35,35
6505866972,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6701711995,1,1,4,8,9,9,10,13,18,18,22,22,26,26,29,30,33,38,41,41,48,49,51,54,58,74,75,76,76
7004160061,1,1,1,1,1,2,2,5,7,8,8,9,12,13,14,17,17,19,19,22,22,22,22,22,22,22,22,22,22
56271265800,1,2,7,7,9,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
6602915716,2,2,2,3,3,3,4,4,5,7,12,12,12,13,13,14,19,19,20,26,30,32,36,43,45,46,46,46,46
7103024162,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5
6701813563,1,5,7,7,7,9,9,11,11,11,16,17,23,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
7003952036,5,5,6,7,10,11,20,23,27,27,33,34,39,48,56,61,68,74,78,88,91,93,98,106,132,143,148,161,169
24347295600,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7007014349,2,2,2,2,2,8,8,8,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
7004038899,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7004297071,3,3,3,5,5,23,23,23,40,42,47,55,55,55,55,55,55,64,66,86,86,87,97,98,108,125,134,138,142
6506360366,1,1,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6506190488,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7006968257,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7004910831,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7006544339,2,2,2,2,2,2,2,2,3,3,3,3,3,3,6,6,6,7,7,7,11,11,11,11,14,15,19,19,25
6506268310,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7003703984,6,8,8,8,8,8,11,14,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
6701693584,5,5,5,5,5,5,6,8,8,8,9,11,11,11,14,14,16,16,16,16,16,16,16,22,22,25,25,25,26
7003879659,2,6,8,10,13,13,23,25,27,27,28,29,29,34,35,36,38,41,42,42,42,42,45,46,46,48,49,49,49
57013401500,1,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7102539583,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7102242206,2,2,2,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6504163364,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
56217266300,3,3,3,3,6,9,9,16,16,21,25,26,26,26,26,29,33,33,35,38,38,38,38,38,44,44,44,46,47
6701360964,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
56968330700,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6507390012,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
57198158151,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6601910751,3,6,6,8,11,13,13,13,16,19,19,19,21,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
6507747387,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
6602989345,3,3,3,3,3,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
7003868524,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
24368391500,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7003713333,2,2,2,5,5,5,8,9,13,13,15,16,16,16,16,16,16,16,16,17,34,34,34,34,43,51,56,57,61
7402408551,2,2,2,2,3,6,6,6,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,13,13,17
7005351394,2,4,8,12,12,14,17,18,19,19,21,21,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
7101684209,3,3,3,3,3,3,3,3,3,3,3,3,3,8,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
7202187914,7,7,8,8,9,13,13,14,17,19,20,23,24,25,29,34,34,35,40,41,41,53,54,62,67,67,71,71,71
57162909900,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6602092773,3,3,5,5,8,9,11,11,15,15,17,19,19,26,26,28,31,31,31,31,31,32,34,34,34,34,34,34,34
55574349600,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7801691400,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
7201406379,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
55957506100,7,7,7,8,10,10,10,10,12,13,16,17,19,23,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25
6603852061,5,5,5,5,13,13,13,13,47,47,55,55,55,55,55,55,55,55,55,55,91,94,114,114,114,114,114,114,114
7006525397,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
57191987948,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7004367690,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
7005014340,4,4,4,4,4,4,4,4,4,8,14,14,20,20,20,20,32,32,32,32,41,56,84,84,84,84,91,91,97
7004526866,7,7,7,7,10,10,10,10,10,16,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
7005814193,7,7,10,12,17,17,24,39,48,63,63,80,82,100,107,111,123,138,140,140,142,178,178,178,178,198,198,207,207
35894696800,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6507201466,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6507413140,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
23118728100,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6601963489,1,1,3,3,5,6,7,7,7,10,15,17,17,17,21,21,24,26,26,27,28,33,35,38,38,39,41,41,43
6602567885,2,2,2,2,2,2,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,8,8
6507967933,2,4,5,5,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6603440628,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6603240566,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7202218434,5,5,7,7,7,11,12,14,16,16,17,17,21,23,24,29,31,48,75,79,84,87,100,110,114,122,125,138,142
7005106453,2,2,2,2,3,6,6,7,8,9,12,21,26,31,33,47,50,53,55,62,64,68,73,82,90,93,100,105,119
7005337720,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,14,14,14,14,14,14,14,14,14,14,14,14,14,14
56250643200,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3
6701849067,2,5,5,6,8,10,11,13,13,17,17,17,17,17,17,17,19,20,20,21,21,23,23,24,25,27,27,27,27
7102720862,7,7,7,7,7,7,11,11,11,11,11,11,15,23,23,23,29,29,30,30,30,30,30,30,30,30,30,30,30
7006661572,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6602989290,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6603976320,1,1,1,1,1,2,2,2,3,5,6,6,6,12,12,13,14,15,15,15,15,15,15,15,15,15,15,15,15
57196473316,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8561545400,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7102786032,1,2,12,12,12,12,12,12,19,19,20,23,23,23,23,29,34,41,43,56,57,62,68,77,94,100,100,108,108
15082612000,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6603174352,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
57062614600,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6602415673,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6508238151,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6602861668,5,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
7003681209,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5
6603905460,2,2,2,2,2,2,2,2,6,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
6508318415,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7006651973,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
23396995900,1,1,2,2,2,2,2,5,9,9,14,14,15,15,15,15,21,24,26,26,30,33,34,35,38,42,43,46,47
7101766203,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7005450822,3,5,5,5,5,7,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
6603410572,2,2,2,2,2,2,2,4,4,4,4,4,4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
57198257889,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
57196403688,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
7005456532,1,1,1,1,1,2,2,3,5,5,5,6,6,13,13,13,18,20,20,24,24,24,24,24,31,31,31,31,31
57197143370,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
6506365020,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
56169760700,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
57194773339,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7003817357,2,2,8,10,10,17,19,25,33,38,38,42,45,47,48,53,57,61,68,74,82,92,98,104,109,109,118,125,128
6504246577,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7004136290,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
7006274408,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6701551637,3,3,4,4,5,5,5,5,5,5,5,11,11,11,11,12,14,14,14,15,15,15,15,18,20,23,23,23,31
56517572500,1,1,1,1,1,2,2,8,12,12,12,13,13,14,14,20,21,29,33,39,41,61,67,76,83,86,109,112,128
6508212858,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,7,7,7,7,7
7003799620,2,2,2,2,3,3,4,6,9,9,14,18,19,21,24,26,35,36,44,49,55,69,78,81,84,89,91,91,93
7202476810,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
25948527200,4,6,6,6,7,7,10,11,14,19,19,21,34,38,38,39,43,49,49,50,52,52,52,52,65,65,89,89,89
25925500100,1,1,3,3,3,3,10,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
6504375640,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7007131545,6,8,8,8,8,8,14,19,33,33,35,36,48,49,62,69,76,77,92,92,98,99,99,107,114,114,132,132,135
6603140195,1,1,1,1,1,1,2,4,4,4,4,8,8,12,17,19,21,24,28,29,29,29,31,33,33,38,40,46,53
7103102263,2,2,2,2,4,5,5,5,6,6,6,6,6,6,6,7,7,10,10,10,10,13,13,13,13,13,13,13,13
57199666192,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6701660968,17,18,18,18,18,18,18,18,18,19,19,19,19,19,33,47,47,49,59,60,60,77,78,78,78,85,85,105,105
7004019009,5,9,9,9,9,9,9,9,9,17,20,28,36,36,36,36,36,36,58,58,58,64,64,64,64,64,64,64,64
22972174500,1,1,8,8,10,12,14,14,14,14,15,15,16,18,19,24,29,30,30,35,37,42,42,43,47,50,51,51,51
7601416158,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
